num,tier,zone,city,company,address,industry
377,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Port Lambton,Injection Molding Solutions,"7965 1st St, Siren, WI 54872, USA",injection molding company
378,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,Adler Pelzer Group Plant 5,"2630 Dove St, Port Huron, MI 48060, USA",automotive parts manufacturer
379,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,Ap Trade House Inc.,"1342 Plank Rd, Sarnia, ON N7T 7H3, Canada",packaging manufacturer
380,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,Bean'Stock Inc.,"510 Michigan Ave, Point Edward, ON N7V 1G5, Canada",packaging manufacturer
381,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,Big Lake Manufacturing Ltd.,"918 Lakeshore Rd, Sarnia, ON N7V 2V2, Canada",manufacturer
382,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,Boyd Paper and Packaging Inc.,"227 Lochiel St, Sarnia, ON N7T 4C9, Canada",packaging manufacturer
383,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,CIE Manufacturing Canada,"21 Ube Dr Suite 101, Sarnia, ON N7W 1B6, Canada",manufacturer
384,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,"CIMC Refrigerated Trailer Co., Ltd.","21 Ube Dr, Sarnia, ON N7W 1B6, Canada",manufacturing company
385,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,Canada Parts Plus Inc.,"174 Mitton St N unit c, Sarnia, ON N7T 6H2, Canada",automotive parts manufacturer
386,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,Flexitallic Canada Ltd.,"100 Duff Dr, Sarnia, ON N7W 1A7, Canada",manufacturer
387,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,Fort Garry Industries Ltd,"970 Atkin Ave, Sarnia, ON N7W 1A7, Canada",automotive parts manufacturer
388,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,Frito Lay Canada,"1513 Old London Rd, Sarnia, ON N7T 7H4, Canada",food manufacturer
389,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,GennFlex Canada,"1173 Michener Rd #16, Sarnia, ON N7S 5G5, Canada",manufacturer
390,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,H P Pelzer Auto Systems Inc,"2415 Dove St, Port Huron, MI 48060, USA",automotive parts manufacturer
391,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,H.C. Starck Canada Inc.,"933 Vidal St S, Sarnia, ON N7T 8H8, Canada",metal fabrication
392,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,ITL Health Canada,"101 Duff Dr Unit D, Sarnia, ON N7W 1A7, Canada",food manufacturer
393,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,International Automotive,"1905 Beard St, Port Huron, MI 48060, USA",automotive parts manufacturer
394,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,John Crane Canada Inc,"1419 Confederation St, Sarnia, ON N7S 5N9, Canada",manufacturer
395,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,K & V Sheet Metal Inc.,"564 Modeland Rd, Sarnia, ON N7W 1A2, Canada",metal fabrication
396,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,"PRISM Plastics, Inc.","2040 International Way, Port Huron, MI 48060, USA",plastics manufacturer
397,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,Rock Technical Solutions Inc,"177 Samuel St, Sarnia, ON N7T 7L3, Canada",manufacturer
398,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,SPARTAN SLING MFG INC. SARNIA,"101 Duff Dr Unit B, Sarnia, ON N7W 1A7, Canada",manufacturer
399,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,Tempest Industries,"180 Forsyth St N, Sarnia, ON N7T 6C8, Canada",manufacturer
400,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,Top Shelf Canada,"582 Superior St, Sarnia, ON N7T 7E6, Canada",manufacturer
401,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sarnia,WFS Ltd.,"1352 Lougar Ave, Sarnia, ON N7S 5N7, Canada",manufacturer
402,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sombra,Global Plas,"300 Spinnaker Way, Concord, ON L4K 4W1, Canada",plastics manufacturer
403,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Sombra,Plastruct Polyzone Inc.,"143 Birchs Rd, North Bay, ON P1B 8Z4, Canada",plastics manufacturer
404,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,St. Clair,"Auria Solutions, Inc.","2001 Christian B Haas Dr, St Clair, MI 48079, USA",manufacturer
405,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,St. Clair,Dynamic Polymer Solutions,"2011 Christian B Haas Dr, St Clair, MI 48079, USA",plastics manufacturer
406,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,St. Clair,MPP Corporation,"82 Airport Dr, Kimball, MI 48074, USA",plastics manufacturer
407,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,St. Clair,NORMA Group,"1111 Fred W Moore Hwy, St Clair, MI 48079, USA",plastics manufacturer
408,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,St. Clair,Rex Precision Manufacturing Inc.,"92 Gaffield Dr, Smiths Creek, MI 48074, USA",plastics manufacturer
409,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Thedford,Accumetal Manufacturing Inc.,"300 Wright Blvd, Stratford, ON N4Z 1H3, Canada",manufacturing company
410,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Thedford,Aisin Canada Inc,"180 Wright Blvd, Stratford, ON N4Z 1H3, Canada",automotive parts manufacturer
411,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Thedford,CS Automotive Tubing Inc.,"2400 Innovation Drive, London, ON N6M 0C5, Canada",automotive parts manufacturer
